Country,gdp,military,literacy,birth,death
Kuwait,2.25481E+11,5,96.5,17.5,2.3
Kyrgyzstan,45461000000,1.5,99.6,18.7,6
Laos,64173000000,0.2,87.1,19.8,6.2
Latvia,69479000000,3.2,99.9,8.3,14.7
Lebanon,65818000000,3.2,95.1,12.6,5.6
Lesotho,6000000000,1.5,81,22.9,10.8
Liberia,8882000000,0.8,48.3,32.4,8.3
Libya,91161000000,2.2560240963855422,91,20.3,3.5
Liechtenstein,4978000000,2.2560240963855422,86.55542169,10.3,8.2
Lithuania,1.34219E+11,2.9,99.8,8.9,15.2
Luxembourg,88533000000,1.3,86.55542169,11.6,7.1
Macau,71248000000,2.2560240963855422,97.1,8.6,4.9
Madagascar,51265000000,0.7,77.3,27.6,5.8
Malawi,34789000000,0.7,67.3,26.6,4.5
Malaysia,56361500000,0.9,95,14.2,5.8
Maldives,11723000000,2.2560240963855422,97.9,15.1,4.3
Mali,56919000000,4,35.5,40,8.1
Malta,33787000000,0.8,94.9,9.4,8.8
Marshall Islands,56361500000,2.2560240963855422,98.3,21.2,4.3
Mauritania,31434000000,2.5,67,27.2,7.2
Mauritius,33532000000,2.2560240963855422,92.2,9.8,9
Mexico,56361500000,0.6,95.2,14.3,6.5
"Micronesia, Federated States of",56361500000,2.2560240963855422,86.55542169,17.8,4.2
Moldova,38969000000,0.5,99.6,8.4,14.2
Monaco,7672000000,2.2560240963855422,86.55542169,6.5,11.1
Mongolia,56474000000,0.6,99.2,14.9,6.4
Montenegro,17172999999.999998,2,99,10.9,10.3
Morocco,3.39603E+11,4,75.9,16.8,6.6
Mozambique,50844000000,1.5,63.4,36.5,9.6
Namibia,29944000000,2.8,92.3,24.3,7.1
Nauru,56361500000,2.2560240963855422,86.55542169,20.2,6.5
Nepal,1.4431E+11,1,71.2,17,5.6
Netherlands,56361500000,2.1,86.55542169,10.6,9.7
New Caledonia,10266000000,2.2560240963855422,96.9,13.8,6
New Zealand,2.55026E+11,1.3,86.55542169,12.6,6.9
Nicaragua,51088000000,0.6,82.6,16.4,5.1
Niger,44561000000,2,37.3,46.6,9.5
Nigeria,56361500000,0.7,62,33.8,8.4
Niue,56361500000,2.2560240963855422,86.55542169,18.3,13.4
North Macedonia,43108000000,2.2,98.4,10.2,9.6
Northern Mariana Islands,1242000000,2.2560240963855422,86.55542169,15.7,5.7
Norway,4.99357E+11,2.2,86.55542169,10.4,8.4
Oman,1.93445E+11,5.5,95.7,21.1,3.2
Pakistan,56361500000,3,58,25.5,5.9
Palau,56361500000,2.2560240963855422,96.6,11.6,8.4
Panama,1.59908E+11,1.1,95.7,17.4,5.7
Papua New Guinea,43371000000,0.3,64.2,28.1,5.4
Paraguay,1.08022E+11,0.8,94.5,15.9,4.9
Peru,5.17644E+11,1,94.5,16.7,10.9
Philippines,56361500000,1.5,96.3,22.1,6.2
Poland,56361500000,4.1,99.8,8.4,12.2
Portugal,4.41697E+11,1.6,95.9,8,10.9
Puerto Rico,1.37828E+11,2.2560240963855422,92.4,7.8,10.2
Qatar,3.08522E+11,4,93.5,9.2,1.4
Romania,7.75064E+11,2.3,98.9,8.5,14.6
Russia,56361500000,5,99.7,8.4,14
Rwanda,42701000000,1.4,75.9,25,5.7
Saint Kitts and Nevis,1422000000,2.2560240963855422,86.55542169,11.8,7.4
Saint Lucia,4196000000,2.2560240963855422,86.55542169,11.4,8.3
Saint Pierre and Miquelon,56361500000,2.2560240963855422,86.55542169,6.4,11.7
Saint Vincent and the Grenadines,1858000000,2.2560240963855422,86.55542169,11.9,7.7
